Product ID,Name,Category,Price (Dh),Old Price (Dh),Discount_old_price (%),Discount (%),Marque,Rating
1641,Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,Téléphone & Tablette,124900,25000,N/A,67,"Itel S23 16GB(8+8GB)/256GB -6.6""-50MP-5000mAh-Mystery White1,249.00 Dhs2%Itel S23 16GB(8 + 8GB)/256GB -6.6""-50MP-5000mAh-Starry Black1,249.00 Dhs2%Mibro X1– montre connectée pour hommes et femmes, écran Amoled de 1.3 pouces519.00 Dhs42%Mibro Lite 2  montre connectée pour hommes et femmes avec appels Bluetooth699.00 Dhs22%Soundpeats AIR3 DELUXE HS ÉCOUTEURS BLUETOOTH SANS FIL HI-RES AUDIO CODEC LDAC, BLUETOOTH 5.2499.00 Dhs23%Oppo A17K (3Go+64Go) - 5000mAh IPX4 résistance à l'eau - Blue1,299.00 Dhs13%XIAOMI Mi 20W Wireless Car Charger408.00 Dhs26%XIAOMI 12 PRO - 6,73'' - 12GB 256GB - 50Mpx - PURPLE - 1 an de garantie10,151.00 Dhs3%Kieslect KS Smart Calling Watch Noir Ultra Amoled 368 x 448 Pixels699.00 Dhs30%Mibro Lite – montre connectée pour hommes et femmes, écran Amoled  de 1.3 pouces499.00 Dhs38%Mibro A2 Montre Connectée Sportive, Appel Bluetooth,Écran HD de 1.39 Pouces489.00 Dhs30%Kieslect CALLING WATCH KR 2 DOUBLE STRAP ULTRA AMOLED900.00 Dhs25%Nokia Téléphone 5310 -Dual Sim (2020)/ Blanc Rouge799.00 DhsVivo Y16  - 4 Go RAM + 64 Go ROM - Stellar Black1,499.00 Dhs12%Oppo Enco Air2 écouteurs sans fil - oreillette légère 3,5g - Blanc599.00 Dhs",4.1
6553,Plustar Ecouteurs Bluetooth Sans fil Magnetique Avec Microphone Android/iOS,Téléphone & Tablette,124900,29900,N/A,33,"Itel S23 16GB(8+8GB)/256GB -6.6""-50MP-5000mAh-Mystery White1,249.00 Dhs2%Itel S23 16GB(8 + 8GB)/256GB -6.6""-50MP-5000mAh-Starry Black1,249.00 Dhs2%Écouteurs Bluetooth 5.3 sans Fil avec Microphone EarBuds  Indicateur de batterie LED67.00 Dhs65%Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM - 50Mpx - Orange copper1,560.00 Dhs31%Itel A05S 8GB(4+4GB)/64GB  - 6.6"" Waterdrop - 4000mAh - Type-C - Meadow Green849.00 DhsPubg Contrôleur Gants À Doigt Gaming Gants de pouce Respirant Antidérapant by Amazona19.00 Dhs68%Samsung GALAXY M13 6.6” 4GB 128GB Light Bleu1,579.00 Dhs28%Samsung GALAXY M13 6.6” 4GB 128GB Orange copper1,579.00 Dhs28%Samsung Galaxy A34 5G 6,6"" - 8GB + 128GB - Awesome Lime3,189.00 Dhs25%Samsung Memory Card Micro SD Carte Mémoire Micro SDXC Classe 10 128 GB 130MB/s169.00 Dhs32%Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Copper1,175.00 Dhs16%XIAOMI Redmi Watch 3 Active 289mAh Ultra-large 1.83"" water resistance Bluetooth® 5.3415.00 Dhs17%Samsung Galaxy WATCH 4 (40mm) BLACK1,429.00 Dhs43%Samsung Galaxy A24 - 6GB + 128GB - 6.5” FHD+ Super AMOLED 5000 mAh - Noir2,449.00 Dhs11%Samsung Galaxy A14 6.6'' LTE 4+128GB 50 Mpx SILVER1,759.00 Dhs36%",5.0
3361,Inspirational Quote Stickers Aesthetic Motivational Decal Stickers for Laptop Scrapbooking Journal Kids Toys lot/25 pcs,Téléphone & Tablette,51900,9900,N/A,65,"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Copper1,175.00 Dhs16%Poss Housse - PLAYFULS Etui de Protection 10"" pour tablette et pc mini69.00 DhsSamsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - White1,175.00 Dhs16%Poss Housse - PLAYFULS Etui de Protection 10"" pour tablette et pc mini69.00 DhsOraimo Barre de son sans fil SoundFlow à triple lumière colorée709.00 Dhs29%bracelet pour apple watch magnétique en acier inoxydable avec Boucle de Verrouillage Magnétique-Gris  de 42-44mm53.00 Dhs73%XIAOMI 12 PRO - 6,73'' - 12GB 256GB - 50Mpx - PURPLE - 1 an de garantie10,151.00 Dhs3%",4.5
2544,Lot 50 Pcs autocollants Internet Java JS Php Html Cloud Docker Bitcoin Langage De Programmation APP autocollant Geek programmeur Php Docker Html Bitcoin Cloud C + + langage de programmation pour ordinateur portable voiture autocollants faciles à poser,Téléphone & Tablette,69900,9900,N/A,61,N/A,3.6
2035,"ONE PIECE stickers Luffy, zoro, shanks, ace, Tony 50 pcs by moroccan otaku",Téléphone & Tablette,49900,4900,N/A,20,AweiBaseusBluedioBlue SpectrumCaseCeramicDecorativeDeep BassDINEXDmlEssagerFlrGeneralGenericGpIpegaKonfulonKotion EachMotorolaNetacNiaOricoOtgOtherPanasonicPlustarPossRemaxSandiskSHStickersSupportT'nBTelefunkenThe G-LabTWSUniversalVidvieXIAOMI,5.0
9517,"stickers maroc morocco maghreb FIFA WORLD CUP QATAR 2022 game,gaming,football LOT\13 pcs",Téléphone & Tablette,129900,9900,N/A,69,Black/PinkDark MauveMatte BlackOff-WhiteRose GoldVibrant Green,4.6
2442,50 pcs Mélanger Jujutsu Kaisen Chasseur X Chasseur Anime Autocollants Planche À Roulettes BRICOLAGE Voiture Ordinateur Portable Vélo Cool Graffiti Autocollant Jouet D'enfant,Téléphone & Tablette,40800,4900,N/A,20,Android,4.1
2217,Taylor New Album Midnights Graffiti Stickers Decals DIY Phone Laptop Notebook Swift Sticker Aesthetic Kids Toys lot/30 pcs,Téléphone & Tablette,1015100,12600,N/A,40,235,5.0
2280,"Support de bureau pliable pour tablette, ordinateur portable, support multifonction",Téléphone & Tablette,69900,9900,N/A,65,Articles en promotion seulement,4.0
2068,Ins Style Purple Sticker Aesthetic Sky Flower Cute Decals Toys Suitcase Skateboard Laptop Luggage Bike DIY lot/30 pcs,Téléphone & Tablette,49900,4900,N/A,20,TSMC,3.0
9551,Cute Cartoon Art Bohemian Aesthetic Stickers Graffiti Decals Laptop Phone Scrapbook Car Luggage lot/30 pcs,Téléphone & Tablette,48900,4900,N/A,20,1.0 GHz1.5 GHz1.6 GHz,5.0
2488,Motorcycle Stickers Decals Car Bike Helmet For Honda Yamaha Kawasaki Suzuki LOT/30 pcs,Téléphone & Tablette,90000,9900,N/A,65,Expédié depuis Maroc,5.0
1323,Hunter X Hunter Anime kurapika Stickers Laptop Bicycle Guitar Skateboard LOT/30 pcs,Téléphone & Tablette,3500,9900,65,65,N/A,4.5
